run_name,task_id,episode_idx,infer_id,route_type,accepted_prefix_len,chunk_exec_len,policy_time_ms,serve_time_ms,client_roundtrip_ms,sample_actions_ms
stage4_libero_goal_task0_seed7_n10,0,2,9,draft,12,12,10.55310799711151,10.67472000431735,11.729330995876808,8.109864000289235
stage4_libero_goal_task0_seed7_n10,0,3,0,full,12,12,34.45039500365965,34.543456000392325,35.96264999941923,32.56389599846443
stage4_libero_goal_task0_seed7_n10,0,3,1,draft,12,12,9.570908994646743,9.649389998230617,10.521568998228759,7.673019004869275
stage4_libero_goal_task0_seed7_n10,0,3,2,draft,12,12,10.010953003074974,10.187685998971574,11.164064999320544,7.852580994949676
stage4_libero_goal_task0_seed7_n10,0,3,3,draft,12,12,10.523698998440523,10.645759997714777,11.923132995434571,8.112833995255642
stage4_libero_goal_task0_seed7_n10,0,3,4,draft,12,12,10.946372996841092,11.07669499469921,12.154205003753304,8.335176004038658
stage4_libero_goal_task0_seed7_n10,0,3,5,draft,12,12,10.533717999351211,10.657180006091949,11.83187300193822,8.054892998188734
stage4_libero_goal_task0_seed7_n10,0,3,6,draft,12,12,10.39790800132323,10.528359001909848,11.831032003101427,8.057822997216135
stage4_libero_goal_task0_seed7_n10,0,3,7,draft,12,12,10.608848999254405,10.7326609941083,11.997373003396206,8.07863299996825
stage4_libero_goal_task0_seed7_n10,0,3,8,draft,12,12,10.635829996317625,10.766170991701074,11.897393000253942,8.058192994212732
stage4_libero_goal_task0_seed7_n10,0,3,9,draft,12,12,10.744690996943973,10.866932003409602,12.089125004422385,8.082193999143783
stage4_libero_goal_task0_seed7_n10,0,4,0,full,12,12,35.088870994513854,35.20423299778486,37.08930300490465,32.93287999986205
stage4_libero_goal_task0_seed7_n10,0,4,1,draft,12,12,10.261456001899205,10.381927007983904,11.4457180025056,8.188113999494817
stage4_libero_goal_task0_seed7_n10,0,4,2,draft,12,12,10.510667998460121,10.640389999025501,11.657610004476737,8.111893002933357
stage4_libero_goal_task0_seed7_n10,0,4,3,draft,12,12,10.733360999438446,10.856020999199245,11.88260200433433,8.113502997730393
stage4_libero_goal_task0_seed7_n10,0,4,4,draft,12,12,10.665729001630098,10.793579996970948,11.827171998447739,8.098982994852122
stage4_libero_goal_task0_seed7_n10,0,4,5,draft,12,12,10.945772999548353,11.06610400165664,12.307687000429723,8.07655300013721
stage4_libero_goal_task0_seed7_n10,0,4,6,draft,12,12,10.731869995652232,10.862791998079047,12.327327000093646,8.07739300216781
stage4_libero_goal_task0_seed7_n10,0,4,7,draft,12,12,10.695299999497365,10.818941998877563,12.170075002359226,8.098474005237222
