condition,run_name,task_id,episode_idx,infer_id,route_type,accepted_prefix_len,chunk_exec_len,policy_time_gpu_sync_ms,policy_time_wall_ms,policy_time_ms,serve_time_ms,client_roundtrip_ms,sample_actions_ms,stage5_perturb_enabled,stage5_perturb_condition,stage5_perturb_applied,stage7_guard_enabled,stage7_guard_mode,stage7_wrist_health_mean,stage7_wrist_health_std,stage7_wrist_health_range,stage7_wrist_healthy,stage7_cache_available,stage7_cache_age_queries,stage7_cache_hit,stage7_cache_miss,stage7_image_replaced,stage7_cache_updated,stage7_guard_query_index,stage7_guard_note,source
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,21,draft,1,1,8.292485006677452,8.292485006677452,11.446258002251852,11.641459997917991,12.725550994218793,8.292485006677452,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,21,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,22,full,12,12,33.75258799496805,33.75258799496805,36.160652998660225,36.270172997319605,37.13882200099761,33.75258799496805,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,22,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,23,draft,0,0,8.31340500008082,8.31340500008082,11.28352599334903,11.423026997363195,12.45198799733771,8.31340500008082,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,23,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,24,full,12,12,33.09130099660251,33.09130099660251,35.139371000695974,35.23911299998872,36.047111003426835,33.09130099660251,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,24,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,25,draft,0,0,8.279834997665603,8.279834997665603,11.435766995418817,11.589229994569905,12.656510996748693,8.279834997665603,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,25,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,26,full,12,12,33.53294500266202,33.53294500266202,35.57984600047348,35.70205700088991,36.5290659974562,33.53294500266202,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,26,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,27,draft,0,0,8.31484600348631,8.31484600348631,11.194885002623778,11.348487008945085,12.504708996857516,8.31484600348631,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,27,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,28,full,12,12,33.403884001018014,33.403884001018014,35.482915001921356,35.58462599903578,36.41820500342874,33.403884001018014,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,28,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,29,draft,0,0,8.329025993589312,8.329025993589312,11.311877002299298,11.46774800872663,12.62867000332335,8.329025993589312,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,29,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,30,full,12,12,33.4621740039438,33.4621740039438,35.67766700143693,35.78495900001144,36.57613600080367,33.4621740039438,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,30,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
