condition,run_name,task_id,episode_idx,infer_id,route_type,accepted_prefix_len,chunk_exec_len,policy_time_gpu_sync_ms,policy_time_wall_ms,policy_time_ms,serve_time_ms,client_roundtrip_ms,sample_actions_ms,stage5_perturb_enabled,stage5_perturb_condition,stage5_perturb_target_key,stage5_perturb_applied,stage5_perturb_query_index,stage5_perturb_mode,stage5_perturb_period,source
wrist_zero_all,stage5_camera_dropout,0,0,22,full,12,12,33.20927299500909,33.20927299500909,35.33724400040228,35.476856006425805,36.5038870004355,33.20927299500909,True,wrist_zero_all,robot0_eye_in_hand_image,True,22,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,23,draft,0,0,8.285614996566437,8.285614996566437,11.230105999857187,11.372846995072905,12.618610002391506,8.285614996566437,True,wrist_zero_all,robot0_eye_in_hand_image,True,23,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,24,full,12,12,33.09818200068548,33.09818200068548,35.271394001028966,35.38406499865232,36.1602339980891,33.09818200068548,True,wrist_zero_all,robot0_eye_in_hand_image,True,24,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,25,draft,0,0,8.292386002722196,8.292386002722196,11.197136002010666,11.392717002308927,12.627989999600686,8.292386002722196,True,wrist_zero_all,robot0_eye_in_hand_image,True,25,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,26,full,12,12,33.18972200213466,33.18972200213466,35.30000400496647,35.405196009378415,36.3147750031203,33.18972200213466,True,wrist_zero_all,robot0_eye_in_hand_image,True,26,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,27,draft,0,0,8.283695002319291,8.283695002319291,11.276366996753495,11.419307993492112,13.3645979949506,8.283695002319291,True,wrist_zero_all,robot0_eye_in_hand_image,True,27,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,28,full,12,12,33.54556600243086,33.54556600243086,35.6377979987883,35.753509000642225,36.756369001523126,33.54556600243086,True,wrist_zero_all,robot0_eye_in_hand_image,True,28,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,29,draft,0,0,7.775179998134263,7.775179998134263,10.104884000611492,10.206995000771713,11.173195001902059,7.775179998134263,True,wrist_zero_all,robot0_eye_in_hand_image,True,29,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,30,full,12,12,33.00043100171024,33.00043100171024,34.41689500323264,34.484926000004634,35.09164199931547,33.00043100171024,True,wrist_zero_all,robot0_eye_in_hand_image,True,30,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,31,draft,0,0,7.780650004860945,7.780650004860945,10.067064002214465,10.166444997594226,11.104674995294772,7.780650004860945,True,wrist_zero_all,robot0_eye_in_hand_image,True,31,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
